As Reported Annual Balance Sheet ,,,,,,,,,,,,,,,,,,,
Report Date,12/31/2023,,12/31/2022,,12/31/2021,,12/31/2020,,12/31/2019,,12/31/2018,,12/31/2017,,12/31/2016,,12/31/2015,,12/31/2014
Currency,CNY,,CNY,,CNY,,CNY,,CNY,,CNY,,CNY,,CNY,,CNY,,CNY
Audit Status,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified
Consolidated,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes
Scale,Billions,,Billions,,Billions,,Billions,,Billions,,Billions,,Billions,,Billions,,Billions,,Billions
Contract assets,2.66,,13.553,,-,,5.346,,-,,-,,-,,-,,-,,-
Other current assets,13.215,,13.136,,8.525,,7.313,,7.796,,16.144,,11.09,,-,,-,,-
Construction in progress,34.726,,44.622,,20.277,,6.112,,10.675,,9.684,,4.513,,-,,-,,-
Fixed assets,-,,131.88,,61.221,,54.585,,49.443,,43.679,,43.245,,-,,-,,-
Development costs,0.541,,1.683,,2.605,,4.886,,5.748,,5.385,,4.101,,-,,-,,-
"Intangible assets, net",-,,23.223,,17.105,,11.804,,12.65,,11.314,,10.098,,-,,-,,-
Long-term equity investments,17.647,,15.485,,7.905,,5.466,,4.06,,3.561,,3.065,,-,,-,,-
Long-term accounts receivable,8.238,,1.119,,1.17,,1.805,,1.24,,2.134,,1.05,,-,,-,,-
Long-term deferred expenses,4.063,,0.458,,0.077,,0.067,,0.132,,0.167,,0.073,,-,,-,,-
Construction materials,15.274,,-,,-,,-,,-,,-,,3.223,,-,,-,,-
Other equity instruments investments,-,,4.419,,-,,1.42,,-,,-,,-,,-,,-,,-
Other non-current assets,2.696,,21.045,,12.521,,0.108,,0.349,,0.188,,0.149,,-,,-,,-
Contract liabilities,0.008,,35.517,,-,,8.186,,-,,-,,-,,-,,-,,-
Notes payable,-,,3.328,,7.331,,8.926,,13.648,,21.141,,16.954,,-,,-,,-
Current portion of non-current liabilities,7.74,,6.465,,12.983,,11.412,,8.747,,7.483,,9.874,,-,,-,,-
Short-term borrowings,18.323,,5.153,,10.204,,16.401,,40.332,,37.789,,35.775,,-,,-,,-
Accounts payable,194.43,,140.437,,73.16,,42.983,,22.521,,25.142,,23.32,,-,,-,,-
Interest payable,-,,-,,-,,-,,-,,-,,0.175,,-,,-,,-
Wages payable,17.139,,12.037,,5.849,,4.835,,3.783,,3.856,,3.18,,-,,-,,-
Trading financial liabilities,-,,0.055,,-,,0.058,,0.034,,0.009,,0.119,,-,,-,,-
Dividends payable,-,,-,,-,,-,,-,,-,,0.01,,-,,-,,-
Estimated liabilities,-,,1.287,,-,,1.939,,-,,1.855,,1.472,,-,,-,,-
Other current liabilities,1.829,,2.615,,3.715,,0.546,,7.025,,6.112,,0.515,,-,,-,,-
Long-term borrowings,11.975,,7.594,,8.744,,14.745,,11.948,,6.848,,6.369,,-,,-,,-
Bonds payable,-,,-,,2.046,,8.88,,9.969,,7.077,,4.493,,-,,-,,-
Other non-current liabilities,50.646,,26.897,,7.417,,5.27,,2.443,,3.317,,1.673,,-,,-,,-
Total liabilities,529.086,,372.471,,191.536,,136.563,,133.04,,133.877,,118.142,,-,,-,,-
Capital reserves,-,,61.706,,60.807,,24.699,,24.531,,24.524,,24.474,,-,,-,,-
Special reserve,0.022,,0.012,,0.01,,0.004,,-,,-,,-,,-,,-,,-
Surplus reserves,-,,6.839,,5.009,,4.448,,4.099,,3.842,,3.41,,-,,-,,-
Invention shares,-1.267,,-1.81,,-,,-,,-,,-,,-,,-,,-,,-
Undistributed profits (loss),67.124,,40.943,,26.456,,24.457,,21.056,,20.498,,19.236,,-,,-,,-
Other comprehensive income,0.604,,0.428,,-0.124,,-0.556,,-0.047,,-0.291,,1.26,,-,,-,,-
Other equity instruments,-,,-,,-,,1.095,,4.395,,3.896,,3.896,,-,,-,,-
Total equity attributable to shareholders of parent,138.81,,111.029,,95.07,,56.874,,56.762,,55.198,,55.004,,-,,-,,-
Total liabilities & shareholders' equity,679.548,,493.861,,295.78,,201.017,,195.642,,194.571,,178.099,,-,,-,,-
